steamid,playtime_forever,achievement_count,category_activity_pca_recalc,player_type
76561197980143180,481,10,-1.2947197697184945,0
76561198076402319,12785,40,4.005390706971883,1
76561198034096440,5330,43,4.472595531198561,1
76561198131834463,57,3,-2.170077239490945,0
76561198302975346,518,6,-1.7668878501180714,0
76561197989342663,3625,30,2.1967868290011547,1
76561198834458897,1691,43,4.472595531198561,1
76561198327228070,566,0,-2.7426462184955027,0
76561198006884123,540,0,-2.7426462184955027,0
76561198152618007,159,0,-2.7426462184955027,0
76561197970792411,812,0,-2.7426462184955027,0
76561198107302800,4050,23,0.946777091606844,1
76561198062505918,4190,7,-1.8413556765617716,0
76561198139110854,2598,43,4.472595531198561,1
76561198352272979,3365,43,4.472595531198561,1
76561198101876412,14840,38,3.5531219053894376,1
76561198016628406,891,15,-0.3886834537741613,0
76561198007609033,535,0,-2.7426462184955027,0
76561198215096428,453,0,-2.7426462184955027,0
76561198331441913,11760,43,4.472595531198561,1
76561198091484468,284,0,-2.7426462184955027,0
76561198045616762,17694,43,4.472595531198561,1
76561198035661426,181,7,-1.7686041295040806,0
76561198014470876,18567,43,4.472595531198561,1
76561199469211097,8133,43,4.472595531198561,1
76561198041625770,2846,21,0.8015427795684579,1
76561198086556743,3984,43,4.472595531198561,1
76561197976301865,252,3,-2.4430019146205866,0
76561198003078338,19768,36,3.291089189443949,1
76561199378975787,33088,43,4.472595531198561,1
76561198046436357,6271,37,3.409193613915054,1
76561198084542691,5707,14,-0.3282529780279754,0
76561198296685552,133,3,-2.344426500559617,0
76561198002027418,2366,22,0.8499401362015311,1
76561198039031102,79,0,-2.7426462184955027,0
76561197996943649,16157,30,2.2555006874790835,1
76561198002493801,22384,43,4.472595531198561,1
76561197970339633,4468,14,-0.5552913915872968,0
76561198003587634,122,7,-1.6229595586436878,0
76561198024038675,258,0,-2.7426462184955027,0
76561198411619208,374,11,-0.8727879265194786,0
76561197965144411,17635,37,3.304715076699072,1
76561198124544984,17292,32,2.2911855434732193,1
76561199149239646,342,0,-2.7426462184955027,0
76561197997828517,1238,20,0.5045105168215466,0
76561198016344025,742,13,-0.7546541932761229,0
76561198016002068,4115,28,1.896176918501466,1
76561198001991912,417,0,-2.7426462184955027,0
76561198060737300,1265,16,0.0658407543811793,0
