steamid,playtime_forever,achievement_count,crafting_count,player_killer_count,combat_count,exploration_count,death_count,leveling_count,survival_count,efficiency_score,crafting_ratio,player_killer_ratio,combat_ratio,exploration_ratio,death_ratio,leveling_ratio,survival_ratio,log_playtime,total_playtime_outlier,survival_time_abnormal,invalid_efficiency,bot_like,max_survive_minutes_0,max_survive_minutes_60,max_survive_minutes_180,max_survive_minutes_600,max_survive_minutes_1680,max_items_crafted_0,max_items_crafted_50,max_items_crafted_500,max_items_crafted_1500,max_items_crafted_5000,max_zombie_kills_0,max_zombie_kills_10,max_zombie_kills_100,max_zombie_kills_500,max_zombie_kills_2500,max_player_kills_0,max_player_kills_1,max_player_kills_5,max_player_kills_10,max_player_kills_25,max_travel_0,max_travel_10,max_travel_50,max_travel_250,max_travel_1000,max_level_0,max_level_7,max_level_28,max_level_70,max_level_140,max_level_300,max_fortitude_0,max_fortitude_4,max_fortitude_6,max_fortitude_8,max_fortitude_10,max_die_times_0,max_die_times_1,max_die_times_7,max_die_times_14,max_die_times_28
76561198054004608,2110,43,8,4,11,6,4,5,5,0.02037914691943128,0.18604651162790697,0.09302325581395349,0.2558139534883721,0.13953488372093023,0.09302325581395349,0.11627906976744186,0.11627906976744186,7.65491704784832,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
76561197993579927,5231,32,7,0,10,3,4,4,4,0.006117377174536418,0.21875,0.0,0.3125,0.09375,0.125,0.125,0.125,8.562548893137034,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
76561198080349814,489358,43,8,4,11,6,4,5,5,8.787022997478329e-05,0.18604651162790697,0.09302325581395349,0.2558139534883721,0.13953488372093023,0.09302325581395349,0.11627906976744186,0.11627906976744186,13.10085165042899,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
76561198001873585,309,2,0,0,2,0,0,0,0,0.006472491909385114,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.736572297479192,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
76561198971959226,800,13,5,0,3,1,2,1,1,0.01625,0.38461538461538464,0.0,0.23076923076923078,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,6.68586094706836,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
76561198042773556,21093,43,8,4,11,6,4,5,5,0.0020385910017541365,0.18604651162790697,0.09302325581395349,0.2558139534883721,0.13953488372093023,0.09302325581395349,0.11627906976744186,0.11627906976744186,9.95674391883656,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
76561198187410553,2200,23,7,0,4,2,4,4,2,0.010454545454545454,0.30434782608695654,0.0,0.17391304347826086,0.08695652173913043,0.17391304347826086,0.17391304347826086,0.08695652173913043,7.696667081526462,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
76561198000413287,484,6,1,0,2,1,2,0,0,0.012396694214876033,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.0,6.184148890937483,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
76561198032591844,888,7,4,0,1,0,1,1,0,0.007882882882882882,0.5714285714285714,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,6.790097235513905,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
76561198843434426,1032,16,5,0,4,2,3,1,1,0.015503875968992248,0.3125,0.0,0.25,0.125,0.1875,0.0625,0.0625,6.940222469119639,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
76561197976602082,6935,26,7,1,5,3,3,4,3,0.003749098774333093,0.2692307692307692,0.038461538461538464,0.19230769230769232,0.11538461538461539,0.11538461538461539,0.15384615384615385,0.11538461538461539,8.844480518460378,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
76561198352272979,3365,43,8,4,11,6,4,5,5,0.012778603268945022,0.18604651162790697,0.09302325581395349,0.2558139534883721,0.13953488372093023,0.09302325581395349,0.11627906976744186,0.11627906976744186,8.121480374750751,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
76561197971204006,588,4,3,0,1,0,0,0,0,0.006802721088435374,0.75,0.0,0.25,0.0,0.0,0.0,0.0,6.3784261836515865,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
76561198994062628,2430,43,8,4,11,6,4,5,5,0.017695473251028805,0.18604651162790697,0.09302325581395349,0.2558139534883721,0.13953488372093023,0.09302325581395349,0.11627906976744186,0.11627906976744186,7.796057974316123,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
76561198034096440,5330,43,8,4,11,6,4,5,5,0.008067542213883677,0.18604651162790697,0.09302325581395349,0.2558139534883721,0.13953488372093023,0.09302325581395349,0.11627906976744186,0.11627906976744186,8.581294116822761,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
76561198041298094,744,18,5,0,8,1,2,1,1,0.024193548387096774,0.2777777777777778,0.0,0.4444444444444444,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,6.61338421837956,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
76561197997112174,255,3,1,0,1,0,1,0,0,0.011764705882352941,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,5.545177444479562,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
