cluster,combat_count,combat_skill_count,crafting_count,death_count,exploration_count,leveling_count,player_killer_count,survival_count,zombie_killer_count
1,0.027028785522358035,0.03503566406278861,0.07680538828126984,0.03933198387873354,0.0524736918655836,0.04495607139795992,0.039156943507758404,0.042959705150633104,0.03687060041363243
2,0.06916267541395413,0.12543852232037678,0.23394097164720848,0.09352865689616113,0.12501471243439355,0.12776018934183847,0.0065954589321927425,0.10793133876209626,0.11062747425177848
3,0.12194568709458034,0.00016490765171503957,0.5389234135217394,0.1556474021608695,0.039087176192374534,0.019918288875170397,0.0008431076916254628,0.036427547676451545,0.08704246913547377
4,0.06295801006244957,0.01398046208976797,0.33034841065411863,0.1072351342693897,0.13676630770986636,0.12152929661843398,0.0061948352046715645,0.10058056605187525,0.120406977339427
