,steamid,playtime_forever,achievement_count,crafting_count,player_killer_count,combat_count,exploration_count,death_count,leveling_count,survival_count,efficiency_score,max_survive_minutes,max_items_crafted,max_zombie_kills,max_player_kills,max_travel,max_level,max_fortitude,max_die_times,combat_count_ratio,crafting_count_ratio,exploration_count_ratio,survival_count_ratio,death_count_ratio,player_killer_count_ratio,leveling_count_ratio
0,76561198188321818,32674,15,5,0,3,1,1,3,2,0.00045908061455591603,180,50,10,0,10,70,0,1,0.2,0.3333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.0,0.2
1,76561198000015568,56671,39,8,2,10,6,4,5,4,0.0006881826683841824,1680,5000,2500,5,1000,300,10,28,0.2564102564102564,0.20512820512820512,0.15384615384615385,0.10256410256410256,0.10256410256410256,0.05128205128205128,0.1282051282051282
2,76561198048689582,2090,4,4,0,0,0,0,0,0,0.0019138755980861245,0,50,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,76561197960769312,11867,31,8,0,7,5,2,5,4,0.002612286171736749,1680,5000,2500,0,1000,300,4,7,0.22580645161290322,0.25806451612903225,0.16129032258064516,0.12903225806451613,0.06451612903225806,0.0,0.16129032258064516
4,76561199004815907,1268,43,8,4,11,6,4,5,5,0.03391167192429022,1680,5000,2500,25,1000,300,10,28,0.2558139534883721,0.18604651162790697,0.13953488372093023,0.11627906976744186,0.09302325581395349,0.09302325581395349,0.11627906976744186
5,76561198160078610,466,2,1,0,0,0,1,0,0,0.004291845493562232,0,0,0,0,0,0,0,1,0.0,0.5,0.0,0.0,0.5,0.0,0.0
6,76561198061493460,11694,33,8,0,9,4,4,4,4,0.0028219599794766545,1680,5000,2500,0,250,140,6,28,0.2727272727272727,0.24242424242424243,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.0,0.12121212121212122
7,76561198193136631,160,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,76561197964671909,1098,13,6,0,1,1,3,1,1,0.011839708561020037,60,500,10,0,10,7,0,14,0.07692307692307693,0.46153846153846156,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.0,0.07692307692307693
9,76561198017813293,391,3,2,0,1,0,0,0,0,0.0076726342710997444,0,0,10,0,0,0,0,0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
