steamid,cluster,best_k,silhouette
76561197960271989,1,4,0.19478530330569416
76561197960286640,1,4,0.19478530330569416
76561197960292807,1,4,0.19478530330569416
76561197960301580,1,4,0.19478530330569416
76561197960332616,1,4,0.19478530330569416
76561197960335311,1,4,0.19478530330569416
76561197960351734,1,4,0.19478530330569416
76561197960366517,1,4,0.19478530330569416
76561197960374601,1,4,0.19478530330569416
76561197960384929,3,4,0.19478530330569416
76561197960393604,1,4,0.19478530330569416
76561197960405174,1,4,0.19478530330569416
76561197960408970,1,4,0.19478530330569416
76561197960436666,1,4,0.19478530330569416
76561197960457558,1,4,0.19478530330569416
76561197960485586,1,4,0.19478530330569416
76561197960547315,1,4,0.19478530330569416
76561197960643486,1,4,0.19478530330569416
76561197960759094,1,4,0.19478530330569416
76561197960769312,1,4,0.19478530330569416
76561197960799550,1,4,0.19478530330569416
76561197960799782,3,4,0.19478530330569416
76561197960902680,1,4,0.19478530330569416
76561197960905909,1,4,0.19478530330569416
76561197961048460,1,4,0.19478530330569416
76561197961096804,1,4,0.19478530330569416
76561197961318302,1,4,0.19478530330569416
76561197961444200,1,4,0.19478530330569416
76561197961521131,1,4,0.19478530330569416
76561197961621019,1,4,0.19478530330569416
76561197961744176,1,4,0.19478530330569416
76561197961780979,1,4,0.19478530330569416
76561197961864608,1,4,0.19478530330569416
76561197962054695,1,4,0.19478530330569416
76561197962061039,1,4,0.19478530330569416
76561197962092557,1,4,0.19478530330569416
76561197962202166,1,4,0.19478530330569416
76561197962287503,1,4,0.19478530330569416
76561197962368812,1,4,0.19478530330569416
76561197962545891,1,4,0.19478530330569416
76561197962613337,1,4,0.19478530330569416
76561197962737643,1,4,0.19478530330569416
76561197962767542,1,4,0.19478530330569416
76561197962838085,1,4,0.19478530330569416
76561197962974319,1,4,0.19478530330569416
76561197963040896,1,4,0.19478530330569416
76561197963079401,1,4,0.19478530330569416
76561197963135603,1,4,0.19478530330569416
76561197963212954,1,4,0.19478530330569416
76561197963280337,1,4,0.19478530330569416
76561197963282057,1,4,0.19478530330569416
76561197963394136,1,4,0.19478530330569416
76561197963473450,1,4,0.19478530330569416
76561197963550511,3,4,0.19478530330569416
76561197963695471,1,4,0.19478530330569416
76561197963714403,1,4,0.19478530330569416
76561197963831883,1,4,0.19478530330569416
76561197963870886,1,4,0.19478530330569416
76561197964134665,1,4,0.19478530330569416
76561197964222909,1,4,0.19478530330569416
76561197964343044,1,4,0.19478530330569416
76561197964454963,3,4,0.19478530330569416
76561197964473408,1,4,0.19478530330569416
76561197964671909,1,4,0.19478530330569416
76561197964889395,1,4,0.19478530330569416
76561197964914532,1,4,0.19478530330569416
76561197965075581,1,4,0.19478530330569416
76561197965144411,1,4,0.19478530330569416
76561197965160723,1,4,0.19478530330569416
76561197965165543,1,4,0.19478530330569416
76561197965217014,1,4,0.19478530330569416
76561197965244835,1,4,0.19478530330569416
76561197965274807,1,4,0.19478530330569416
76561197965277561,1,4,0.19478530330569416
76561197965309671,1,4,0.19478530330569416
76561197965325226,1,4,0.19478530330569416
76561197965333589,1,4,0.19478530330569416
76561197965388486,1,4,0.19478530330569416
76561197965489900,1,4,0.19478530330569416
76561197965734753,1,4,0.19478530330569416
76561197965964690,1,4,0.19478530330569416
76561197965978376,1,4,0.19478530330569416
76561197966158801,1,4,0.19478530330569416
76561197966170666,3,4,0.19478530330569416
76561197966242763,1,4,0.19478530330569416
76561197966468553,1,4,0.19478530330569416
76561197966479359,1,4,0.19478530330569416
76561197966617426,1,4,0.19478530330569416
76561197966618551,1,4,0.19478530330569416
76561197966690560,1,4,0.19478530330569416
76561197966773879,1,4,0.19478530330569416
76561197966873544,1,4,0.19478530330569416
76561197966930309,1,4,0.19478530330569416
76561197966963062,1,4,0.19478530330569416
76561197967055456,1,4,0.19478530330569416
