steamid,playtime_forever,achievement_count,efficiency_score,combat_count,combat_skill_count,crafting_count,death_count,exploration_count,leveling_count,player_killer_count,survival_count,zombie_killer_count,category_activity_mean,category_activity_pca,abnormal_behavior_flag
76561197970389924,39861,43,0.0010787486515641,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198040178115,397,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198353518467,6941,43,0.006195072756087,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198051177321,1459,13,0.0089102124742974,1,0,6,1,1,1,0,2,1,2.6,-5.168050986385083,0
76561198083787826,201888,43,0.0002129893802504,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,1
76561198046878168,359,2,0.0055710306406685,0,0,2,0,0,0,0,0,0,0.4,-16.96916957556554,0
76561198000388603,22470,32,0.0014241210502892,2,3,8,1,6,5,0,4,3,6.4,15.002480027070572,0
76561198174102790,383,43,0.1122715404699739,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,1
76561198025111129,188,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561197995281961,570,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561199158305270,7187,43,0.0059830249060804,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198006766715,11189,40,0.003574939672893,3,4,8,3,4,5,4,5,4,8.0,23.11678734003168,0
76561198018254158,19566,43,0.0021976898701829,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198033624455,38,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561197976469696,13286,29,0.0021827487580912,2,3,8,1,5,5,0,2,3,5.8,11.81421707563494,0
76561197994575642,352,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198067208458,529,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198840301773,1619,43,0.0265596046942557,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,1
76561198197031430,253,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198025618418,9321,37,0.0039695311661838,3,4,8,4,6,4,0,4,4,7.4,20.12448877324488,0
76561198047414009,3730,33,0.0088471849865951,3,4,8,4,5,3,0,3,3,6.6,15.893305241665312,0
76561198344068866,2555,43,0.0168297455968688,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198081999502,22734,43,0.0018914401337204,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198153525620,10724,43,0.0040096978739276,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198275649621,3225,43,0.0133333333333333,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561197990481530,361,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198217979953,347,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198041885150,133,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198128578271,386,43,0.1113989637305699,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,1
76561197962838085,38,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198081008157,390,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561197989446733,47560,43,0.0009041211101766,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198057078777,8138,43,0.005283853526665,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561197967540452,1490,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198083142373,716,3,0.0041899441340782,0,0,3,0,0,0,0,0,0,0.6,-15.851236481304063,0
