steamid,playtime_forever,achievement_count,efficiency_score,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level,playtime_outlier,impossible_survival,zero_achieve_high_playtime,suspect_flag,max_activity_mean,max_activity_pca
76561198081999502,22734,43,0.0018914401337204,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198153525620,10724,43,0.0040096978739276,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198275649621,3225,43,0.0133333333333333,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561197990481530,361,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198217979953,347,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198041885150,133,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198128578271,386,43,0.1113989637305699,1680,5000,2500,25,10,1000,28,300,False,True,False,True,1.460136185838347,2.9204202322364647
76561197962838085,38,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198081008157,390,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561197989446733,47560,43,0.0009041211101766,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198057078777,8138,43,0.005283853526665,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561197967540452,1490,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198083142373,716,3,0.0041899441340782,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198024926277,140,6,0.0428571428571428,0,50,10,0,0,0,0,0,False,False,False,False,-0.7668998550368786,-1.5337832578319726
76561198159216159,297,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198054004608,2110,43,0.0203791469194312,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561197997946137,439,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198079772364,129,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561197993579927,5231,32,0.0061173771745364,1680,1500,2500,0,10,250,28,140,False,False,False,False,0.7716052123836696,1.550088147342546
76561198339323993,215,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198023327915,176,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198080349814,489358,43,8.787022997478329e-05,1680,5000,2500,25,10,1000,28,300,True,False,False,True,1.460136185838347,2.9204202322364647
76561198001873585,309,2,0.0064724919093851,0,0,10,0,0,0,0,0,False,False,False,False,-0.7723603676402566,-1.5446043690422935
76561198971959226,800,13,0.01625,60,50,10,0,0,10,7,7,False,False,False,False,-0.7332434507684606,-1.4663703441244966
76561198058291396,559,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561199257765441,1395,43,0.0308243727598566,1680,5000,2500,25,10,1000,28,300,False,True,False,True,1.460136185838347,2.9204202322364647
76561198042773556,21093,43,0.0020385910017541,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198187410553,2200,23,0.0104545454545454,180,1500,500,0,0,50,28,140,False,False,False,False,-0.1725248907833662,-0.34604707266507273
76561198000413287,484,6,0.012396694214876,0,0,0,0,0,10,7,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198048285800,254,43,0.1692913385826771,1680,5000,2500,25,10,1000,28,300,False,True,False,True,1.460136185838347,2.9204202322364647
76561198032591844,888,7,0.0078828828828828,0,50,10,0,0,0,1,7,False,False,False,False,-0.7534994447960814,-1.5069708821994714
76561198843434426,1032,16,0.0155038759689922,60,50,100,0,0,50,14,7,False,False,False,False,-0.7135455894070175,-1.4267198645585004
76561197976602082,6935,26,0.003749098774333,600,1500,2500,1,0,250,14,140,False,False,False,False,0.4069973198864946,0.8192784619929994
76561198352272979,3365,43,0.012778603268945,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561197971204006,588,4,0.0068027210884353,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198004006226,517,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198994062628,2430,43,0.0176954732510288,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198060410834,2671,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198407772607,183,43,0.2349726775956284,1680,5000,2500,25,10,1000,28,300,False,True,False,True,1.460136185838347,2.9204202322364647
76561198034096440,5330,43,0.0080675422138836,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198041298094,744,18,0.0241935483870967,60,50,100,0,10,10,7,7,False,False,False,False,-0.7135455894070175,-1.4267198645585004
76561198207088253,222,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198043828654,438,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561197997112174,255,3,0.0117647058823529,0,0,10,0,0,0,1,0,False,False,False,False,-0.7723603676402566,-1.5446043690422935
76561198368799839,456,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198995500311,1152,43,0.0373263888888888,1680,5000,2500,25,10,1000,28,300,False,True,False,True,1.460136185838347,2.9204202322364647
76561198007609033,535,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198102700771,13381,43,0.0032135116956879,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198023116710,6159,43,0.0069816528657249,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198062505918,4190,7,0.0016706443914081,0,50,10,0,0,0,1,0,False,False,False,False,-0.7668998550368786,-1.5337832578319726
76561197990233857,505,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561199141671103,399,43,0.1077694235588972,1680,5000,2500,25,10,1000,28,300,False,True,False,True,1.460136185838347,2.9204202322364647
76561198059307202,27552,43,0.0015606852497096,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561197998096051,4598,43,0.0093518921270117,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198058416969,6412,43,0.0067061759201497,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561199208306587,649,43,0.0662557781201849,1680,5000,2500,25,10,1000,28,300,False,True,False,True,1.460136185838347,2.9204202322364647
76561198074783710,5905,41,0.0069432684165961,1680,5000,500,25,10,250,28,300,False,False,False,False,1.022405933361832,2.0392984641032164
76561198049840570,12744,43,0.0033741368487131,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198133918114,2723,20,0.0073448402497245,60,50,100,0,4,50,28,140,False,False,False,False,-0.4589377948318713,-0.9172847275409781
76561197982946417,262,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561197999659168,786,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198035780173,455,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198025146852,154,5,0.0324675324675324,0,0,0,0,0,0,1,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198011389008,24698,43,0.0017410316624827,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198000711279,204,6,0.0294117647058823,60,0,10,0,0,10,0,7,False,False,False,False,-0.7387039633718386,-1.4771914553348175
76561198057329243,140,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198162399308,1210,1,0.0008264462809917,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198049291468,1037,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198055326676,420,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561197993279741,72,4,0.0555555555555555,0,50,0,0,0,0,0,0,False,False,False,False,-0.7690885062992613,-1.5381888666726389
76561198120468864,49233,18,0.0003656084333678,180,500,100,0,0,50,14,28,False,False,False,False,-0.5836877571989827,-1.167691660618159
76561198200337814,13000,43,0.0033076923076923,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198102380468,10122,42,0.0041493775933609,1680,5000,2500,25,10,1000,28,140,False,False,False,False,1.153841094620126,2.3075659320650095
76561198059373650,188,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561197977010834,517,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198161507346,2370,43,0.0181434599156118,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198161310076,333,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198160320827,5288,23,0.0043494704992435,1680,500,500,0,4,50,7,70,False,False,False,False,0.09066060543162421,0.1844203986778676
76561198076917180,6866,38,0.0055345179143606,1680,1500,2500,25,10,250,28,140,False,False,False,False,0.7716052123836696,1.550088147342546
76561198173819274,12472,43,0.0034477228992944,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198009474997,3035,43,0.0141680395387149,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198187763739,812,43,0.0529556650246305,1680,5000,2500,25,10,1000,28,300,False,True,False,True,1.460136185838347,2.9204202322364647
76561198007759830,74,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198165492519,229,43,0.1877729257641921,1680,5000,2500,25,10,1000,28,300,False,True,False,True,1.460136185838347,2.9204202322364647
76561198049211014,523,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561197981111953,139,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198870916350,4376,43,0.0098263254113345,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198821184379,91046,43,0.0004722887331678,1680,5000,2500,25,10,1000,28,300,True,False,False,True,1.460136185838347,2.9204202322364647
76561199053439300,222,9,0.0405405405405405,0,50,10,0,0,0,1,0,False,False,False,False,-0.7668998550368786,-1.5337832578319726
76561198249392362,403,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198121098268,24749,43,0.0017374439371287,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198041689171,2575,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561197974925353,8053,34,0.0042220290574941,1680,5000,2500,0,10,250,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198130370824,475,15,0.031578947368421,0,0,0,25,0,1000,28,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198001500827,22654,43,0.0018981195373885,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198350365789,4887,43,0.0087988541027215,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198000000375,964,4,0.0041493775933609,0,0,0,0,0,0,1,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198015859524,2304,43,0.0186631944444444,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198026716698,344,5,0.0145348837209302,0,0,10,0,0,0,1,0,False,False,False,False,-0.7723603676402566,-1.5446043690422935
76561198858649255,2145,43,0.02004662004662,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198404991183,127,43,0.3385826771653543,1680,5000,2500,25,10,1000,28,300,False,True,False,True,1.460136185838347,2.9204202322364647
76561198065617084,426,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198081257465,507,4,0.0078895463510848,0,0,0,0,0,0,1,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198019184877,547,43,0.0786106032906764,1680,5000,2500,25,10,1000,28,300,False,True,False,True,1.460136185838347,2.9204202322364647
76561198119650667,4635,43,0.0092772384034519,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198019621629,11955,31,0.0025930572982015,1680,5000,2500,0,4,250,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561197964914532,14454,43,0.0029749550297495,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198067040444,413,7,0.0169491525423728,60,0,10,0,0,10,1,7,False,False,False,False,-0.7387039633718386,-1.4771914553348175
76561199032279097,2979,38,0.0127559583752937,600,5000,500,25,10,50,28,140,False,False,False,False,0.35150294964643597,0.6956344785822147
76561197972616894,4254,16,0.003761165961448,180,50,100,0,0,10,7,28,False,False,False,False,-0.6328323706293844,-1.2650816615110474
76561198089139675,153124,43,0.0002808181604451,1680,5000,2500,25,10,1000,28,300,True,False,False,True,1.460136185838347,2.9204202322364647
76561198441849452,18300,43,0.0023497267759562,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561197979803978,474,12,0.0253164556962025,180,50,10,0,0,10,1,28,False,False,False,False,-0.6525302319908275,-1.3047321410770436
76561197998949214,7315,34,0.004647983595352,600,1500,2500,1,10,250,14,300,False,False,False,False,0.7132924111047156,1.4321327621644546
76561197982617834,170,10,0.0588235294117647,60,0,10,0,0,10,1,28,False,False,False,False,-0.6985027326494471,-1.396754328437314
76561198050890851,547,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198093999461,251,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561197991757040,17518,43,0.0024546181070898,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198041891495,168,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561199139776481,11606,8,0.0006892986386351,0,0,10,0,10,10,0,7,False,False,False,False,-0.7589599573994594,-1.5177919934097923
76561197961864608,11417,38,0.0033283699745992,1680,5000,2500,5,10,250,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198338219143,4523,29,0.0064116736679195,1680,50,500,0,10,50,14,140,False,False,False,False,0.17552009440919436,0.3551541541099912
76561198126267465,11157,43,0.0038540826387021,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561197993312863,151,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198112672661,165,3,0.0181818181818181,0,0,0,0,0,0,1,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198096609152,709,17,0.0239774330042313,180,1500,100,0,0,50,1,70,False,False,False,False,-0.3940750436866408,-0.7903951826167339
76561198991688065,315,43,0.1365079365079365,1680,5000,2500,25,10,1000,28,300,False,True,False,True,1.460136185838347,2.9204202322364647
76561197964134665,7609,43,0.0056512025233276,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198350679649,3197,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561197996943649,16157,30,0.0018567803428854,1680,5000,2500,0,0,250,28,140,False,False,False,False,1.153841094620126,2.3075659320650095
76561199383273506,3612,25,0.0069213732004429,600,1500,500,0,4,250,14,28,False,False,False,False,-0.245139496442775,-0.49084131626026783
76561199149568784,16140,43,0.0026641883519206,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561197960643486,479,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198025038660,3951,27,0.0068337129840546,1680,500,500,1,6,50,7,140,False,False,False,False,0.2246647078395959,0.4525441550028793
76561198046621479,143,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561197970812258,5189,43,0.0082867604548082,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198025223542,572,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198029262157,3564,43,0.0120650953984287,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198024038675,258,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561197997788394,8712,43,0.0049357208448117,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198125238941,181,5,0.0276243093922651,0,0,0,0,0,1000,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
