steamid,playtime_forever,achievement_count,efficiency_score,efficiency_per_10h,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level,max_survive_minutes_intensity,max_items_crafted_intensity,max_zombies_killed_intensity,max_players_killed_intensity,max_fortitude_skill_intensity,max_travel_distance_intensity,max_death_count_intensity,max_character_level_intensity,max_survive_minutes_intensity_norm,max_items_crafted_intensity_norm,max_zombies_killed_intensity_norm,max_players_killed_intensity_norm,max_fortitude_skill_intensity_norm,max_travel_distance_intensity_norm,max_death_count_intensity_norm,max_character_level_intensity_norm,combat_count,combat_percent,combat_skill_count,combat_skill_percent,crafting_count,crafting_percent,death_count,death_percent,exploration_count,exploration_percent,leveling_count,leveling_percent,player_killer_count,player_killer_percent,survival_count,survival_percent,zombie_killer_count,zombie_killer_percent
76561198115840410,137,8,0.058394160583941604,35.03649635036496,0,50,10,0,0,0,1,0,1,2,2,1,1,1,2,1,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,1,0.125,0,0.0,5,0.625,1,0.125,0,0.0,0,0.0,0,0.0,0,0.0,1,0.125
76561198033162411,78,2,0.02564102564102564,15.384615384615383,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
76561198027845176,782,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
76561198010206173,153,10,0.06535947712418301,39.21568627450981,60,0,10,0,0,10,7,7,2,1,2,1,1,2,3,2,0.25,0.0,0.25,0.0,0.0,0.25,0.5,0.2,0,0.0,0,0.0,4,0.4,2,0.2,1,0.1,1,0.1,0,0.0,1,0.1,1,0.1
76561198058819470,272,13,0.04779411764705882,28.676470588235293,60,50,10,0,0,10,1,7,2,2,2,1,1,2,2,2,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.2,1,0.07692307692307693,0,0.0,5,0.38461538461538464,1,0.07692307692307693,3,0.23076923076923078,1,0.07692307692307693,0,0.0,1,0.07692307692307693,1,0.07692307692307693
76561198002466205,256,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
76561198049429715,475,16,0.03368421052631579,20.210526315789473,60,50,100,0,0,10,14,70,2,2,3,1,1,2,4,4,0.25,0.25,0.5,0.0,0.0,0.25,0.75,0.6,1,0.0625,0,0.0,5,0.3125,3,0.1875,1,0.0625,3,0.1875,0,0.0,1,0.0625,2,0.125
76561198009555744,1662,11,0.006618531889290012,3.9711191335740073,60,0,10,1,0,10,7,28,2,1,2,2,1,2,3,3,0.25,0.0,0.25,0.25,0.0,0.25,0.5,0.4,1,0.09090909090909091,0,0.0,2,0.18181818181818182,2,0.18181818181818182,1,0.09090909090909091,2,0.18181818181818182,1,0.09090909090909091,1,0.09090909090909091,1,0.09090909090909091
76561198025014146,429,12,0.027972027972027972,16.783216783216783,60,50,10,0,0,10,1,7,2,2,2,1,1,2,2,2,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.2,2,0.16666666666666666,0,0.0,5,0.4166666666666667,1,0.08333333333333333,1,0.08333333333333333,1,0.08333333333333333,0,0.0,1,0.08333333333333333,1,0.08333333333333333
76561198078599118,542,2,0.0036900369003690036,2.214022140221402,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
76561198106312728,445,9,0.020224719101123594,12.134831460674157,0,50,10,0,0,10,1,7,1,2,2,1,1,2,2,2,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.2,0,0.0,0,0.0,5,0.5555555555555556,1,0.1111111111111111,1,0.1111111111111111,1,0.1111111111111111,0,0.0,0,0.0,1,0.1111111111111111
76561198007268396,337,7,0.020771513353115726,12.462908011869436,0,0,10,0,0,0,1,7,1,1,2,1,1,1,2,2,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.2,1,0.14285714285714285,0,0.0,3,0.42857142857142855,1,0.14285714285714285,0,0.0,1,0.14285714285714285,0,0.0,0,0.0,1,0.14285714285714285
76561198056909695,455,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
