steamid,playtime_forever,achievement_count,efficiency_score,combat_count,combat_skill_count,crafting_count,death_count,exploration_count,leveling_count,player_killer_count,survival_count,zombie_killer_count,playtime_outlier,impossible_survival,zero_achieve_high_playtime,abnormal_behavior_flag,category_activity_mean,category_activity_pca,category_activity_mean_recalc,category_activity_pca_recalc
76561197996943649,16157,30,0.0018567803428854,3,0,8,4,3,4,0,4,4,False,False,False,0,6.0,12.74792849502812,3.3333333333333335,2.2555006874790835
76561198002493801,22384,43,0.0019210150107219,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561197970339633,4468,14,0.0031333930170098,1,0,5,2,2,0,1,2,1,False,False,False,0,2.8,-4.218655449488212,1.5555555555555556,-0.5552913915872968
76561198003587634,122,7,0.0573770491803278,1,0,3,1,1,0,0,0,1,False,False,False,0,1.4,-11.692810808087028,0.7777777777777778,-1.6229595586436878
76561198024038675,258,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198411619208,374,11,0.0294117647058823,2,0,4,1,1,0,0,1,2,False,False,False,0,2.2,-7.4729957790870944,1.2222222222222223,-0.8727879265194786
76561197965144411,17635,37,0.0020981003685852,2,4,8,4,6,5,0,4,4,False,False,False,0,7.4,20.175666920084627,4.111111111111111,3.304715076699072
76561198124544984,17292,32,0.0018505667360629,1,4,8,1,5,5,0,4,4,False,False,False,0,6.4,14.987430461856714,3.5555555555555554,2.2911855434732193
76561199149239646,342,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561197997828517,1238,20,0.0161550888529886,2,0,6,1,2,3,0,3,3,False,False,False,0,4.0,2.1707657666990414,2.2222222222222223,0.5045105168215466
76561198016344025,742,13,0.0175202156334231,1,0,5,1,1,2,0,2,1,False,False,False,0,2.6,-5.2251630431633185,1.4444444444444444,-0.7546541932761229
76561198016002068,4115,28,0.0068043742405832,2,3,7,3,3,3,0,3,4,False,False,False,0,5.6,10.57761412888792,3.111111111111111,1.8961769185014659
76561198001991912,417,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
