steamid,playtime_forever,achievement_count,crafting_count,crafting_percent,combat_count,combat_percent,exploration_count,exploration_percent,death_count,death_percent,leveling_count,leveling_percent,survival_count,survival_percent,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level,playtime_hours,achievement_ratio,efficiency,stage1_speed_kmeans,stage1_speed_gmm
76561198005648447,1613,18,6,0.75,6,0.4,2,0.3333333333333333,0,0.0,1,0.2,3,0.6,600,500,100,0,8,50,0,7,26.883333333333333,0.4186046511627907,0.015571158753151378,Normal,Normal
76561198033338283,3895,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,64.91666666666667,1.0,0.015404364569724193,Slow,Normal
76561197988167503,578,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,9.633333333333333,0.0,0.0,Normal,Slow
76561198015749826,1321,14,4,0.5,3,0.2,2,0.3333333333333333,2,0.5,1,0.2,2,0.4,180,50,100,0,0,50,7,7,22.016666666666666,0.32558139534883723,0.014787951339926539,Normal,Normal
76561198172925593,79682,37,8,1.0,10,0.6666666666666666,6,1.0,4,1.0,5,1.0,4,0.8,1680,5000,2500,0,10,1000,28,300,1328.0333333333333,0.8604651162790697,0.0006479243364461899,Slow,Normal
76561197999339700,552,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,9.2,0.0,0.0,Normal,Slow
76561199419240894,678,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,11.3,1.0,0.08849557521340747,Slow,Effective
76561198115009354,37915,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,631.9166666666666,1.0,0.0015824871422894648,Slow,Normal
76561197979667190,141,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,2.35,0.0,0.0,Normal,Slow
76561197966690560,28039,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,467.31666666666666,1.0,0.002139876600444795,Slow,Normal
76561198433683621,38249,39,8,1.0,12,0.8,5,0.8333333333333334,4,1.0,5,1.0,5,1.0,1680,5000,2500,5,10,1000,28,300,637.4833333333333,0.9069767441860465,0.0014227458142978227,Slow,Normal
76561198323009493,32889,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,548.15,1.0,0.0018243181610839655,Slow,Normal
76561198087089368,455,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,7.583333333333333,0.0,0.0,Normal,Slow
76561197995828394,1146,27,5,0.625,11,0.7333333333333333,2,0.3333333333333333,4,1.0,3,0.6,2,0.4,180,50,100,25,8,50,28,70,19.1,0.627906976744186,0.03287471082258174,Slow,Effective
76561198236381260,11879,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,197.98333333333332,1.0,0.005050930212955379,Slow,Normal
76561198092042574,539,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,8.983333333333333,1.0,0.11131725416200551,Slow,Effective
76561198022898802,4528,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,75.46666666666667,1.0,0.013250883392050562,Slow,Normal
76561198011979289,386,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,6.433333333333334,0.0,0.0,Normal,Slow
76561198167940370,6290,20,5,0.625,5,0.3333333333333333,2,0.3333333333333333,4,1.0,2,0.4,2,0.4,180,50,100,1,0,50,28,28,104.83333333333333,0.46511627906976744,0.0044367212629443315,Normal,Normal
76561197969417973,4907,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,81.78333333333333,1.0,0.012227430201603088,Slow,Normal
76561197985841875,194,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,3.2333333333333334,0.0,0.0,Normal,Slow
76561199024473554,418,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,6.966666666666667,1.0,0.1435406698358554,Effective,Effective
76561198033808029,272,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,4.533333333333333,0.0,0.0,Normal,Slow
76561198094413234,3492,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,58.2,1.0,0.017182130583897216,Slow,Normal
76561198335061024,454,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,7.566666666666666,0.0,0.0,Normal,Slow
76561197970389924,39861,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,664.35,1.0,0.0015052306765989234,Slow,Normal
76561198040178115,397,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,6.616666666666666,0.0,0.0,Normal,Slow
76561198353518467,6941,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,115.68333333333334,1.0,0.008644287566558325,Slow,Normal
76561198051177321,1459,13,6,0.75,2,0.1333333333333333,1,0.1666666666666666,1,0.25,1,0.2,2,0.4,180,500,10,0,0,10,1,7,24.316666666666666,0.3023255813953488,0.012432854614787497,Normal,Normal
76561198083787826,201888,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,3364.8,1.0,0.0002971944840702873,Slow,Normal
76561198046878168,359,2,2,0.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,5.983333333333333,0.046511627906976744,0.007773531125215022,Normal,Normal
