steamid,playtime_forever,achievement_count,crafting_count,crafting_percent,combat_count,combat_percent,exploration_count,exploration_percent,death_count,death_percent,leveling_count,leveling_percent,survival_count,survival_percent,efficiency_score,playtime_hours,engagement,achievement_efficiency,log_playtime,achievement_per_hour,player_segment
76561198063348352,444,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,7.4,Regular (4-8h),0.0,2.128231705849268,0.0,Casual Explorers
76561198033338283,3895,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,0.0110397946084724,64.91666666666667,Hardcore (>20h),0.662387676508344,4.1883913179796535,0.01103976626504168,Deep Engagers
76561197999339700,552,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,9.2,Dedicated (8-20h),0.0,2.322387720290225,0.0,Casual Explorers
76561199419240894,396,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,0.1085858585858585,6.6,Regular (4-8h),6.515151515151516,2.028148247292285,0.10858311658796495,Efficient Achievers
76561198087089368,455,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,7.583333333333333,Regular (4-8h),0.0,2.1498223384416355,0.0,Casual Explorers
76561197995828394,1146,27,5,0.625,11,0.7333333333333333,2,0.3333333333333333,4,1.0,3,0.6,2,0.4,0.0235602094240837,19.1,Dedicated (8-20h),1.413612565445026,3.0007198150650303,0.023560003839408032,Non-Achievers
76561197969417973,4907,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,0.0087629916445893,81.78333333333333,Hardcore (>20h),0.5257794986753618,4.41622675288525,0.008762973786480973,Deep Engagers
76561198011979289,386,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,6.433333333333334,Regular (4-8h),0.0,2.0059743897979634,0.0,Casual Explorers
76561198339323993,215,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,3.5833333333333335,Casual (<4h),0.0,1.5224265354444706,0.0,Casual Explorers
76561198092042574,539,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,0.0797773654916512,8.983333333333333,Dedicated (8-20h),4.786641929499073,2.3009170358933484,0.0797758854195655,Non-Achievers
76561198022898802,4528,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,0.0094964664310954,75.46666666666667,Hardcore (>20h),0.5697879858657243,4.3368549160271606,0.009496445458380172,Deep Engagers
76561198026221141,393,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,6.55,Regular (4-8h),0.0,2.0215475632609334,0.0,Casual Explorers
76561197985841875,194,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,3.2333333333333334,Casual (<4h),0.0,1.442989704796436,0.0,Casual Explorers
76561198046642155,508,9,4,0.5,2,0.1333333333333333,0,0.0,1,0.25,1,0.2,1,0.2,0.0177165354330708,8.466666666666667,Dedicated (8-20h),1.0629921259842519,2.247776856499051,0.0177161866892384,Casual Explorers
76561199024473554,418,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,0.1028708133971291,6.966666666666667,Regular (4-8h),6.172248803827751,2.075266170269355,0.10286835243176001,Efficient Achievers
76561198033808029,272,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,4.533333333333333,Casual (<4h),0.0,1.7107904066943878,0.0,Casual Explorers
76561198040178115,397,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,6.616666666666666,Regular (4-8h),0.0,2.030338828672104,0.0,Casual Explorers
76561198094413234,3492,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,0.0123138602520045,58.2,Hardcore (>20h),0.7388316151202748,4.0809215418899605,0.012313824989046422,Deep Engagers
76561198335061024,454,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,7.566666666666666,Regular (4-8h),0.0,2.147878703233064,0.0,Casual Explorers
76561197967540452,1490,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,24.833333333333332,Hardcore (>20h),0.0,3.2516656476911914,0.0,Casual Explorers
76561198025111129,188,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,3.1333333333333333,Casual (<4h),0.0,1.4190841839428814,0.0,Casual Explorers
76561198051177321,1459,13,6,0.75,2,0.1333333333333333,1,0.1666666666666666,1,0.25,1,0.2,2,0.4,0.0089102124742974,24.316666666666666,Hardcore (>20h),0.5346127484578479,3.2314629403736723,0.008910151404034242,Casual Explorers
76561198046878168,359,2,2,0.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0055710306406685,5.983333333333333,Regular (4-8h),0.3342618384401114,1.943526357700037,0.005570875463079023,Casual Explorers
