steamid,playtime_forever,achievement_count,crafting_count,crafting_percent,combat_count,combat_percent,exploration_count,exploration_percent,death_count,death_percent,leveling_count,leveling_percent,survival_count,survival_percent,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level,efficiency,efficiency_cap,stage1_speed,stage1_speed_KMeans,stage1_speed_GMM,stage1_speed_Agglomerative,stage2_persona,log_play,cheater_flag
76561198115009354,37915,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.0011341157853092146,0.0011341157853092146,Slow,Normal,Normal,Normal,1.0,10.543128465572932,False
76561197979667190,141,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,4.955827057601261,False
76561197966690560,28039,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.0015335782303219968,0.0015335782303219968,Slow,Normal,Normal,Normal,1.0,10.241387341148526,False
76561198433683621,38249,39,8,1.0,12,0.8,5,0.8333333333333334,4,1.0,5,1.0,5,1.0,1680,5000,2500,5,10,1000,28,300,0.001019634500248346,0.001019634500248346,Slow,Normal,Normal,Normal,1.0,10.551898839254681,False
76561198323009493,32889,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.001307428015445854,0.001307428015445854,Slow,Normal,Normal,Normal,1.0,10.400923939183103,False
76561198087089368,455,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,6.1224928095143865,False
76561197995828394,1146,27,5,0.625,11,0.7333333333333333,2,0.3333333333333333,4,1.0,3,0.6,2,0.4,180,50,100,25,8,50,28,70,0.02356020942406321,0.02356020942406321,Normal,Normal,Effective,Normal,5.0,7.044905117129371,False
76561198236381260,11879,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.0036198333193026666,0.0036198333193026666,Slow,Normal,Normal,Normal,1.0,9.382611592916636,False
76561198022898802,4528,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.009496466431093309,0.009496466431093309,Normal,Normal,Normal,Normal,1.0,8.418256443556213,False
76561198011979289,386,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,5.958424693029782,False
