steamid,playtime_forever,achievement_count,crafting_count,combat_count,exploration_count,death_count,leveling_count,survival_count,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level,log_playtime,ach_per_10h,crafting_count_rank,combat_count_rank,exploration_count_rank,leveling_count_rank,survival_count_rank,max_death_count_rank,max_survive_minutes_ord,max_items_crafted_ord,max_zombies_killed_ord,max_players_killed_ord,max_fortitude_skill_ord,max_travel_distance_ord,max_death_count_ord,max_character_level_ord,max_death_count_rank_ord,Cluster
76561198033338283,3895,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,8.267705664762426,6.6238757447174725,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561197988167503,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.361302477572996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198015749826,1321,14,4,3,2,2,1,2,180,50,100,0,0,50,7,7,7.186901020411631,6.358816188274251,0.5,0.2,0.3333333333333333,0.2,0.4,0.25,0,0,0,0,0,0,0,0,0,0
76561198172925593,79682,37,8,10,6,4,5,4,1680,5000,2500,0,10,1000,28,300,11.285811542152123,0.27860746257417635,1.0,0.6666666666666666,1.0,1.0,0.8,1.0,1,1,1,0,1,1,1,1,1,1
76561197999339700,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.315358001522335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561199419240894,678,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,6.520621127558696,38.05306366985516,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198115009354,37915,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,10.543128465572932,0.6804694604172049,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561197979667190,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.955827057601261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561197966690560,28039,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,10.241387341148526,0.9201469185032223,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198433683621,38249,39,8,12,5,4,5,5,1680,5000,2500,5,10,1000,28,300,10.551898839254681,0.6117806905522127,1.0,0.8,0.8333333333333334,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198323009493,32889,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,10.400923939183103,0.7844567949565485,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198087089368,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1224928095143865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561197995828394,1146,27,5,11,2,4,3,2,180,50,100,25,8,50,28,70,7.044905117129371,14.13611825334123,0.625,0.7333333333333333,0.3333333333333333,0.6,0.4,1.0,0,0,0,0,0,0,1,0,1,0
76561198236381260,11879,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,9.382611592916636,2.171899881880636,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198092042574,539,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,6.29156913955832,47.866366011466404,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198022898802,4528,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,8.418256443556213,5.697879103637928,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198011979289,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.958424693029782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
