,steamid,earliest_unlock,latest_unlock,total_achievements,duration_days,duration_hours,playtime_forever,achievement_efficiency
0,76561197960332616,2016-10-06 04:31:46+00:00,2024-08-03 00:10:32+00:00,36,2857.8185879629627,68587.64611111111,739.8333333333334,0.04865960801982428
1,76561197960405174,2023-12-16 05:58:15+00:00,2024-10-12 13:51:38+00:00,6,301.3287384259259,7231.889722222222,3.433333333333333,1.7475728155339807
2,76561197960436666,2017-07-06 20:59:40+00:00,2024-05-06 13:07:28+00:00,9,2495.6720833333334,59896.13,7.016666666666667,1.2826603325415677
3,76561197960799550,2019-10-21 09:37:19+00:00,2022-11-05 12:54:24+00:00,39,1111.1368634259259,26667.284722222223,280.56666666666666,0.13900439586551028
4,76561197960902680,2017-09-23 14:21:21+00:00,2021-02-24 08:26:58+00:00,43,1249.753900462963,29994.09361111111,489.76666666666665,0.08779691009324168
5,76561197961864608,2017-02-03 09:52:33+00:00,2024-08-24 15:57:52+00:00,38,2759.2536921296296,66222.08861111112,190.28333333333333,0.1997021984759569
6,76561197962613337,2018-05-06 13:37:08+00:00,2018-05-06 13:37:08+00:00,43,0.0,0.0,1609.5,0.02671637154395775
7,76561197962737643,2022-10-28 10:50:56+00:00,2024-07-27 11:56:14+00:00,23,638.0453472222222,15313.088333333333,30.883333333333333,0.744738262277388
8,76561197962974319,2025-01-13 20:05:05+00:00,2025-04-23 19:32:00+00:00,43,99.97702546296296,2399.448611111111,106.11666666666666,0.4052143866813256
9,76561197963394136,2021-02-14 06:28:45+00:00,2021-05-16 12:10:14+00:00,43,91.2371412037037,2189.691388888889,35.11666666666667,1.2244897959183674
10,76561197963550511,2016-10-11 19:35:49+00:00,2016-10-11 20:11:19+00:00,3,0.024652777777777777,0.5916666666666667,8.0,0.375
11,76561197964134665,2016-10-12 11:35:35+00:00,2022-10-15 12:02:52+00:00,43,2194.018946759259,52656.454722222225,126.81666666666666,0.3390721513996583
12,76561197964454963,2022-12-24 09:18:20+00:00,2022-12-24 09:24:05+00:00,5,0.003993055555555555,0.09583333333333334,0.6666666666666666,7.5
13,76561197964914532,2021-06-28 00:43:25+00:00,2023-09-22 00:03:31+00:00,43,815.9722916666667,19583.335,240.9,0.178497301784973
14,76561197965165543,2018-04-26 08:07:57+00:00,2024-05-09 03:26:26+00:00,10,2204.8045023148147,52915.30805555556,15.583333333333334,0.6417112299465241
15,76561197965215862,2016-11-05 15:02:32+00:00,2019-06-29 16:14:17+00:00,43,966.0498263888888,23185.195833333335,231.01666666666668,0.1861337565832191
16,76561197965325226,2017-03-12 18:44:03+00:00,2022-05-31 00:10:41+00:00,40,1905.2268287037036,45725.44388888889,586.5333333333333,0.0681973175721755
17,76561197965388486,2025-03-27 12:08:10+00:00,2025-06-14 07:42:16+00:00,43,78.81534722222223,1891.5683333333334,74.51666666666667,0.5770521136211139
18,76561197966618551,2016-12-27 22:33:39+00:00,2025-02-11 21:46:21+00:00,12,2967.9671527777778,71231.21166666667,18.35,0.6539509536784741
19,76561197966690560,2020-12-06 16:11:41+00:00,2022-05-05 15:27:39+00:00,43,514.9694212962963,12359.266111111112,467.31666666666666,0.09201469381932309
20,76561197966873544,2018-04-21 02:48:58+00:00,2024-07-29 13:10:07+00:00,9,2291.4313541666666,54994.3525,11.65,0.7725321888412017
21,76561197966930309,2017-10-28 09:37:18+00:00,2019-04-20 22:30:28+00:00,18,539.5369212962963,12948.886111111111,10.383333333333333,1.7335473515248796
22,76561197967055456,2020-02-26 06:56:07+00:00,2024-03-03 21:40:20+00:00,40,1467.614039351852,35222.73694444444,159.6,0.2506265664160401
23,76561197967503679,2019-06-01 05:19:33+00:00,2019-11-10 09:22:58+00:00,9,162.16903935185186,3892.0569444444445,4.533333333333333,1.9852941176470589
24,76561197967576247,2019-09-21 16:04:16+00:00,2022-05-26 20:11:16+00:00,15,978.1715277777778,23476.116666666665,16.05,0.9345794392523364
25,76561197969417973,2025-03-27 12:11:30+00:00,2025-06-14 08:57:56+00:00,43,78.8655787037037,1892.773888888889,81.78333333333333,0.5257794986753618
26,76561197969604501,2016-11-01 00:35:15+00:00,2017-11-11 19:15:23+00:00,43,375.77787037037035,9018.66888888889,280.3833333333333,0.15336146941686976
27,76561197969991065,2017-06-25 21:59:42+00:00,2023-07-14 03:28:11+00:00,21,2209.228113425926,53021.47472222222,25.833333333333332,0.8129032258064517
28,76561197970340464,2017-12-31 09:30:12+00:00,2022-12-15 16:30:07+00:00,43,1810.2916087962963,43446.998611111114,673.0333333333333,0.06388985191421921
29,76561197970356119,2019-02-13 14:17:11+00:00,2024-08-15 14:22:28+00:00,19,2010.0036689814815,48240.088055555556,21.083333333333332,0.9011857707509882
30,76561197970389924,2016-09-16 14:35:51+00:00,2017-09-08 23:28:11+00:00,43,357.36967592592595,8576.872222222222,664.35,0.06472491909385113
31,76561197970479807,2018-07-12 08:56:58+00:00,2024-08-01 12:15:15+00:00,34,2212.137696759259,53091.30472222222,200.56666666666666,0.16951969419976734
32,76561197970532816,2023-08-27 02:56:03+00:00,2023-09-10 10:40:47+00:00,27,14.322731481481481,343.74555555555554,17.45,1.5472779369627507
33,76561197970675024,2017-04-23 12:07:05+00:00,2022-10-23 07:41:05+00:00,26,2008.8152777777777,48211.566666666666,132.65,0.19600452318130418
34,76561197970724214,2022-05-23 01:00:27+00:00,2022-06-02 05:11:58+00:00,22,10.174664351851852,244.19194444444443,33.11666666666667,0.6643180674383493
35,76561197970761123,2018-10-05 16:56:15+00:00,2024-04-02 03:04:33+00:00,10,2005.4224305555556,48130.138333333336,6.733333333333333,1.4851485148514851
36,76561197970812258,2021-07-19 17:58:29+00:00,2021-08-15 15:59:38+00:00,43,26.91746527777778,646.0191666666667,86.48333333333333,0.4972056272884949
37,76561197970850127,2021-06-14 19:12:26+00:00,2024-07-26 17:33:29+00:00,7,1137.9312847222222,27310.350833333334,1.75,4.0
38,76561197971204006,2020-07-08 14:46:41+00:00,2020-07-08 15:01:32+00:00,4,0.0103125,0.2475,9.8,0.4081632653061224
39,76561197971359239,2022-12-13 11:53:16+00:00,2023-08-16 12:19:44+00:00,43,246.01837962962964,5904.441111111111,729.7166666666667,0.05892698079163145
40,76561197971576301,2025-02-27 18:52:00+00:00,2025-02-27 19:42:32+00:00,6,0.03509259259259259,0.8422222222222222,8.066666666666666,0.7438016528925621
41,76561197971643307,2016-10-04 11:35:53+00:00,2024-04-22 04:25:29+00:00,24,2756.701111111111,66160.82666666666,223.46666666666667,0.10739856801909307
42,76561197971981160,2021-04-20 19:47:11+00:00,2025-03-27 14:26:17+00:00,40,1436.7771527777777,34482.651666666665,374.73333333333335,0.10674257249599715
43,76561197972256700,2017-10-26 16:57:29+00:00,2024-03-29 02:37:27+00:00,30,2345.4027546296297,56289.66611111111,31.116666666666667,0.96411355115158
44,76561197972344657,2023-11-02 14:12:38+00:00,2024-02-18 10:38:06+00:00,43,107.85101851851852,2588.4244444444444,123.78333333333333,0.3473811767873973
45,76561197972436190,2017-05-21 22:45:47+00:00,2025-06-27 21:03:54+00:00,8,2958.929247685185,71014.30194444445,3.1166666666666667,2.5668449197860963
46,76561197972482791,2020-11-25 08:33:16+00:00,2022-06-18 12:46:51+00:00,17,570.1760995370371,13684.226388888888,26.883333333333333,0.6323620582765034
47,76561197972616894,2018-03-30 12:51:16+00:00,2024-07-26 10:30:07+00:00,16,2309.9019791666665,55437.6475,70.9,0.22566995768688292
48,76561197972654006,2016-10-20 20:50:14+00:00,2016-10-20 20:50:14+00:00,1,0.0,0.0,8.6,0.11627906976744186
49,76561197972745621,2024-08-09 23:10:56+00:00,2024-08-10 01:26:48+00:00,5,0.09435185185185185,2.2644444444444445,6.033333333333333,0.8287292817679558
50,76561197974783215,2018-11-10 05:44:30+00:00,2024-03-31 05:09:12+00:00,36,1967.9754861111112,47231.41166666667,248.75,0.14472361809045226
51,76561197974786730,2017-11-10 17:56:32+00:00,2018-09-30 13:03:43+00:00,34,323.7966550925926,7771.119722222223,101.11666666666666,0.3362452612493819
52,76561197974925353,2023-10-10 10:59:53+00:00,2023-11-23 06:54:17+00:00,34,43.82944444444445,1051.9066666666668,134.21666666666667,0.2533217434496461
53,76561197975567911,2023-03-16 22:47:34+00:00,2023-04-14 21:31:12+00:00,34,28.946967592592593,694.7272222222222,94.96666666666667,0.35802035802035803
54,76561197975931257,2021-10-17 01:15:20+00:00,2021-10-17 01:16:44+00:00,2,0.0009722222222222222,0.023333333333333334,0.6,3.3333333333333335
55,76561197976001012,2018-10-24 17:22:08+00:00,2018-10-24 17:40:32+00:00,5,0.012777777777777779,0.30666666666666664,0.6166666666666667,8.108108108108107
56,76561197976469696,2016-10-06 05:59:14+00:00,2019-02-14 08:55:38+00:00,29,861.1225,20666.94,221.43333333333334,0.13096492548547342
57,76561197976602082,2018-10-19 12:31:07+00:00,2024-08-03 08:12:58+00:00,26,2114.8207291666668,50755.6975,115.58333333333333,0.2249459264599856
58,76561197977122167,2016-10-27 07:16:44+00:00,2023-12-07 02:45:19+00:00,43,2596.811516203704,62323.47638888889,99.63333333333334,0.43158246905319503
59,76561197978017307,2021-12-20 03:18:09+00:00,2021-12-20 04:05:13+00:00,7,0.032685185185185185,0.7844444444444445,2.15,3.255813953488372
60,76561197978037893,2016-09-15 17:48:19+00:00,2022-04-25 23:01:27+00:00,43,2048.2174537037035,49157.21888888889,1073.4,0.04005962362586175
61,76561197978114813,2024-07-26 22:40:21+00:00,2024-08-03 22:21:07+00:00,22,7.986643518518519,191.67944444444444,34.46666666666667,0.6382978723404255
62,76561197978569122,2022-02-01 22:56:04+00:00,2024-02-21 04:52:37+00:00,34,749.2476041666666,17981.9425,250.1,0.13594562175129948
63,76561197978965270,2019-12-20 17:15:57+00:00,2023-09-21 12:43:59+00:00,43,1370.8111342592592,32899.46722222222,226.86666666666667,0.18953864237437554
64,76561197979042906,2020-08-27 21:38:37+00:00,2024-06-24 22:02:31+00:00,35,1397.0165972222221,33528.39833333333,191.4,0.18286311389759666
65,76561197979084213,2017-02-23 04:18:29+00:00,2017-02-23 05:03:21+00:00,4,0.031157407407407408,0.7477777777777778,9.183333333333334,0.4355716878402904
66,76561197979584400,2025-07-20 15:15:49+00:00,2025-07-20 15:25:48+00:00,3,0.0069328703703703705,0.1663888888888889,0.5166666666666667,5.806451612903225
67,76561197979803978,2018-03-10 13:42:38+00:00,2025-06-04 11:16:20+00:00,12,2642.898402777778,63429.56166666667,7.9,1.5189873417721518
68,76561197979840461,2024-01-27 13:50:03+00:00,2024-02-14 11:56:51+00:00,43,17.921388888888888,430.11333333333334,532.6166666666667,0.08073348562130363
69,76561197979934386,2016-10-15 06:20:47+00:00,2023-10-11 00:57:47+00:00,18,2551.7756944444445,61242.61666666667,24.75,0.7272727272727273
70,76561197980206308,2021-06-29 10:34:27+00:00,2024-04-11 21:02:43+00:00,4,1017.4362962962963,24418.47111111111,10.183333333333334,0.39279869067103107
71,76561197980688855,2021-06-28 04:42:56+00:00,2021-06-28 06:15:44+00:00,8,0.06444444444444444,1.5466666666666666,2.65,3.018867924528302
