steamid,playtime_forever,achievement_count,crafting_count,crafting_percent,combat_count,combat_percent,exploration_count,exploration_percent,death_count,death_percent,leveling_count,leveling_percent,survival_count,survival_percent,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level
76561198087089368,455,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561197995828394,1146,27,5,0.625,11,0.7333333333333333,2,0.3333333333333333,4,1.0,3,0.6,2,0.4,180,50,100,25,8,50,28,70
76561198236381260,11879,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198092042574,539,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198022898802,4528,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198011979289,386,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198167940370,6290,20,5,0.625,5,0.3333333333333333,2,0.3333333333333333,4,1.0,2,0.4,2,0.4,180,50,100,1,0,50,28,28
76561197969417973,4907,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561197985841875,194,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561199024473554,418,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198033808029,272,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198094413234,3492,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198335061024,454,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561197970389924,39861,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198040178115,397,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198353518467,6941,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198051177321,1459,13,6,0.75,2,0.13333333333333333,1,0.16666666666666666,1,0.25,1,0.2,2,0.4,180,500,10,0,0,10,1,7
76561198083787826,201888,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198046878168,359,2,2,0.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198000388603,22470,32,8,1.0,8,0.5333333333333333,6,1.0,1,0.25,5,1.0,4,0.8,1680,5000,500,0,8,1000,1,300
76561198174102790,383,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198025111129,188,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561197995281961,570,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561199158305270,7187,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198006766715,11189,40,8,1.0,15,1.0,4,0.6666666666666666,3,0.75,5,1.0,5,1.0,1680,5000,2500,25,10,50,14,300
76561198018254158,19566,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198033624455,38,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561197976469696,13286,29,8,1.0,8,0.5333333333333333,5,0.8333333333333334,1,0.25,5,1.0,2,0.4,180,5000,500,0,8,250,1,300
76561197994575642,352,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198067208458,529,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198840301773,1619,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198197031430,253,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198025618418,9321,37,8,1.0,11,0.7333333333333333,6,1.0,4,1.0,4,0.8,4,0.8,1680,5000,2500,0,10,1000,28,140
76561198047414009,3730,33,8,1.0,10,0.6666666666666666,5,0.8333333333333334,4,1.0,3,0.6,3,0.6,600,5000,500,0,10,250,28,70
76561198344068866,2555,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198081999502,22734,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198153525620,10724,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198275649621,3225,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561197990481530,361,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198217979953,347,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198041885150,133,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198128578271,386,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561197962838085,38,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198081008157,390,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561197989446733,47560,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198057078777,8138,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561197967540452,1490,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198083142373,716,3,3,0.375,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198024926277,140,6,4,0.5,2,0.13333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,50,10,0,0,0,0,0
76561198159216159,297,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198054004608,2110,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561197997946137,439,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198079772364,129,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561197993579927,5231,32,7,0.875,10,0.6666666666666666,3,0.5,4,1.0,4,0.8,4,0.8,1680,1500,2500,0,10,250,28,140
76561198339323993,215,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198023327915,176,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198080349814,489358,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198001873585,309,2,0,0.0,2,0.13333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0,10,0,0,0,0,0
76561198971959226,800,13,5,0.625,3,0.2,1,0.16666666666666666,2,0.5,1,0.2,1,0.2,60,50,10,0,0,10,7,7
76561198058291396,559,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561199257765441,1395,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198042773556,21093,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198187410553,2200,23,7,0.875,4,0.26666666666666666,2,0.3333333333333333,4,1.0,4,0.8,2,0.4,180,1500,500,0,0,50,28,140
76561198000413287,484,6,1,0.125,2,0.13333333333333333,1,0.16666666666666666,2,0.5,0,0.0,0,0.0,0,0,0,0,0,10,7,0
76561198048285800,254,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198032591844,888,7,4,0.5,1,0.06666666666666667,0,0.0,1,0.25,1,0.2,0,0.0,0,50,10,0,0,0,1,7
76561198843434426,1032,16,5,0.625,4,0.26666666666666666,2,0.3333333333333333,3,0.75,1,0.2,1,0.2,60,50,100,0,0,50,14,7
76561197976602082,6935,26,7,0.875,6,0.4,3,0.5,3,0.75,4,0.8,3,0.6,600,1500,2500,1,0,250,14,140
76561198352272979,3365,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561197971204006,588,4,3,0.375,1,0.06666666666666667,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198004006226,517,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198994062628,2430,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198060410834,2671,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198407772607,183,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198034096440,5330,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198041298094,744,18,5,0.625,8,0.5333333333333333,1,0.16666666666666666,2,0.5,1,0.2,1,0.2,60,50,100,0,10,10,7,7
76561198207088253,222,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198043828654,438,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561197997112174,255,3,1,0.125,1,0.06666666666666667,0,0.0,1,0.25,0,0.0,0,0.0,0,0,10,0,0,0,1,0
76561198368799839,456,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198995500311,1152,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198007609033,535,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198102700771,13381,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198023116710,6159,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198062505918,4190,7,5,0.625,1,0.06666666666666667,0,0.0,1,0.25,0,0.0,0,0.0,0,50,10,0,0,0,1,0
76561197990233857,505,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561199141671103,399,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198059307202,27552,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561197998096051,4598,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198058416969,6412,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561199208306587,649,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198074783710,5905,41,8,1.0,14,0.9333333333333333,5,0.8333333333333334,4,1.0,5,1.0,5,1.0,1680,5000,500,25,10,250,28,300
76561198049840570,12744,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198133918114,2723,20,5,0.625,4,0.26666666666666666,2,0.3333333333333333,4,1.0,4,0.8,1,0.2,60,50,100,0,4,50,28,140
76561197982946417,262,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561197999659168,786,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198035780173,455,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198025146852,154,5,4,0.5,0,0.0,0,0.0,1,0.25,0,0.0,0,0.0,0,0,0,0,0,0,1,0
76561198011389008,24698,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198000711279,204,6,2,0.25,1,0.06666666666666667,1,0.16666666666666666,0,0.0,1,0.2,1,0.2,60,0,10,0,0,10,0,7
76561198057329243,140,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198162399308,1210,1,0,0.0,1,0.06666666666666667,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198049291468,1037,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198055326676,420,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561197993279741,72,4,4,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,50,0,0,0,0,0,0
76561198120468864,49233,18,6,0.75,3,0.2,2,0.3333333333333333,3,0.75,2,0.4,2,0.4,180,500,100,0,0,50,14,28
76561198200337814,13000,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198102380468,10122,42,8,1.0,15,1.0,6,1.0,4,1.0,4,0.8,5,1.0,1680,5000,2500,25,10,1000,28,140
76561198059373650,188,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561197977010834,517,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198161507346,2370,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
