steamid,playtime_capped,log_playtime_capped,achievement_count,is_full_completion,crafting_rank,combat_rank,exploration_rank,death_rank,leveling_rank,survival_rank,crafting_z,combat_z,exploration_z,death_z,leveling_z,survival_z,max_survive_minutes_tier,max_items_crafted_tier,max_zombies_killed_tier,max_players_killed_tier,max_fortitude_skill_tier,max_travel_distance_tier,max_death_count_tier,max_character_level_tier
76561198037802252,442.0,6.093569770045136,3,0,0.3467042497831743,0.17454466608846486,0.21205550737207285,0.4451431049436253,0.22419774501300954,0.22376409366869038,-0.6674769300287098,-0.9381495316074672,-0.944340632672741,-0.48730982169907927,-0.9583689802707865,-0.9384467831171509,0,0,0,0,0,0,1,0
76561197969100147,478.0,6.171700597410915,0,0,0.15546400693842152,0.17454466608846486,0.21205550737207285,0.18430182133564615,0.22419774501300954,0.22376409366869038,-1.26302802333349,-0.9381495316074672,-0.944340632672741,-1.0653635505252503,-0.9583689802707865,-0.9384467831171509,0,0,0,0,0,0,0,0
76561198833431225,484.0,6.184148890937483,43,1,0.8391153512575888,0.898959236773634,0.8839982653946227,0.8356461405030355,0.8568950563746748,0.888551604509974,1.119176349885631,1.5811107974277232,1.4565959703518903,1.2468513647794344,1.3270486707162183,1.4703447149551443,4,4,4,4,4,4,4,5
76561198033263509,4184.0,8.339261982923576,43,1,0.8391153512575888,0.898959236773634,0.8839982653946227,0.8356461405030355,0.8568950563746748,0.888551604509974,1.119176349885631,1.5811107974277232,1.4565959703518903,1.2468513647794344,1.3270486707162183,1.4703447149551443,4,4,4,4,4,4,4,5
76561198040600573,430.0,6.066108090103747,43,1,0.8391153512575888,0.898959236773634,0.8839982653946227,0.8356461405030355,0.8568950563746748,0.888551604509974,1.119176349885631,1.5811107974277232,1.4565959703518903,1.2468513647794344,1.3270486707162183,1.4703447149551443,4,4,4,4,4,4,4,5
76561198098132374,150.0,5.017279836814924,0,0,0.15546400693842152,0.17454466608846486,0.21205550737207285,0.18430182133564615,0.22419774501300954,0.22376409366869038,-1.26302802333349,-0.9381495316074672,-0.944340632672741,-1.0653635505252503,-0.9583689802707865,-0.9384467831171509,0,0,0,0,0,0,0,0
76561198025391492,741.0,6.60934924316738,16,0,0.5238508239375542,0.5032523850823938,0.46856027753686036,0.6337814397224631,0.5513876843018214,0.5702515177797051,0.2258497099284607,-0.43429746580042905,-0.5441845321686358,0.668797635953263,-0.044201919875984645,0.025069816111767163,2,2,2,0,0,1,3,2
76561198219728397,191.0,5.2574953720277815,43,1,0.8391153512575888,0.898959236773634,0.8839982653946227,0.8356461405030355,0.8568950563746748,0.888551604509974,1.119176349885631,1.5811107974277232,1.4565959703518903,1.2468513647794344,1.3270486707162183,1.4703447149551443,4,4,4,4,4,4,4,5
76561198025859378,2973.0,7.9976631270201,43,1,0.8391153512575888,0.898959236773634,0.8839982653946227,0.8356461405030355,0.8568950563746748,0.888551604509974,1.119176349885631,1.5811107974277232,1.4565959703518903,1.2468513647794344,1.3270486707162183,1.4703447149551443,4,4,4,4,4,4,4,5
76561197997697109,655.0,6.486160788944089,0,0,0.15546400693842152,0.17454466608846486,0.21205550737207285,0.18430182133564615,0.22419774501300954,0.22376409366869038,-1.26302802333349,-0.9381495316074672,-0.944340632672741,-1.0653635505252503,-0.9583689802707865,-0.9384467831171509,0,0,0,0,0,0,0,0
