mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__penalty,params,split0_test_macro_f1,split1_test_macro_f1,split2_test_macro_f1,split3_test_macro_f1,split4_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,rank_test_macro_f1,split0_test_bal_acc,split1_test_bal_acc,split2_test_bal_acc,split3_test_bal_acc,split4_test_bal_acc,mean_test_bal_acc,std_test_bal_acc,rank_test_bal_acc,model,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__n_estimators,param_clf__learning_rate,param_clf__max_leaf_nodes,param_clf__gamma
0.018974447250366212,0.001745195281725308,0.0037812232971191407,0.000925290171042927,0.1,l2,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.7926926605004847,0.757654927885951,0.7484589072824367,0.7823055988459673,0.810982727464458,0.7784189643958596,0.022838534223755015,5,0.8152321603128054,0.7847910557184751,0.7666812705366922,0.808457760661414,0.8151856693636719,0.7980695833186118,0.01927160685367072,5,logreg,,,,,,
0.02095141410827637,0.0029040212204403536,0.003128528594970703,0.0009495042826618294,0.5,l2,"{'clf__C': 0.5, 'clf__penalty': 'l2'}",0.8257353973751795,0.8550475396983194,0.8160118847197964,0.8708475717694142,0.8702948564389038,0.8475874500003228,0.02274572943169263,4,0.8509249755620724,0.882591642228739,0.8307917888563049,0.887859237536657,0.8767350928641251,0.8657805474095797,0.021610112322141124,4,logreg,,,,,,
0.018554306030273436,0.0032973758758990004,0.0027068614959716796,0.0008925252749061478,1.0,l2,"{'clf__C': 1.0, 'clf__penalty': 'l2'}",0.8712241936132944,0.8951959521044124,0.8346928472478252,0.8740135850397477,0.8971436481404412,0.8744540452291443,0.022523869972289983,3,0.8968963831867057,0.9243328445747799,0.8501466275659825,0.8896774193548387,0.9045747800586511,0.8931256109481917,0.02440605115561218,3,logreg,,,,,,
0.022585105895996094,0.0028156454138484723,0.002980661392211914,0.0014306571838557135,2.0,l2,"{'clf__C': 2.0, 'clf__penalty': 'l2'}",0.895890811504232,0.9084427138120665,0.8689886830879345,0.9230709950940893,0.9370511144653669,0.9066888635927379,0.023371855040508503,2,0.921302541544477,0.9289919354838709,0.8860410557184751,0.9338416422287391,0.9406842619745847,0.9221722873900294,0.019139472330417868,2,logreg,,,,,,
0.022172164916992188,0.0033996592859336233,0.002498292922973633,0.0006944355968640462,5.0,l2,"{'clf__C': 5.0, 'clf__penalty': 'l2'}",0.9171405943813559,0.9364104944084228,0.9147598289533774,0.9452115626309177,0.9503621037165301,0.9327769168181206,0.01446493785205315,1,0.9366434506353862,0.948966275659824,0.9302052785923755,0.9503812316715543,0.9459237536656891,0.9424239980449659,0.007759885130570914,1,logreg,,,,,,
0.3974647045135498,0.009464068383132785,0.008275699615478516,0.000950365649864498,,,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",0.9340056060750642,0.9452423413635058,0.9612121212121213,0.9657853936394487,0.9386528295850329,0.9489796583750346,0.012465143869391937,9,0.9282233626588464,0.9401160801564028,0.9612903225806452,0.9594721407624635,0.927956989247312,0.9434117790811338,0.014546323856053305,21,rf,,1.0,200.0,,,
0.6957349300384521,0.03708049130230997,0.020323467254638673,0.0011613685070678834,,,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 400}",0.9340056060750642,0.9452423413635058,0.9612121212121213,0.9657853936394487,0.9455454849522645,0.9503581894484808,0.011597822839313977,1,0.9282233626588464,0.9401160801564028,0.9612903225806452,0.9594721407624635,0.9346236559139787,0.9447451124144672,0.013322682760844544,1,rf,,1.0,400.0,,,
1.3608930110931396,0.032204400583964655,0.03268618583679199,0.004772013228295358,,,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 800}",0.9301704620340381,0.9452423413635058,0.9612121212121213,0.9657853936394487,0.9455454849522645,0.9495911606402757,0.012725903993609127,3,0.9264051808406647,0.9401160801564028,0.9612903225806452,0.9594721407624635,0.9346236559139787,0.944381476050831,0.013785449559953651,3,rf,,1.0,800.0,,,
0.3684099197387695,0.04104955428026646,0.01003408432006836,0.0027539113182065513,,,"{'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 200}",0.9301704620340381,0.9389105944923617,0.9612121212121213,0.9657853936394487,0.9429520310102559,0.947806120477645,0.013540193019092202,24,0.9264051808406647,0.9338660801564028,0.9612903225806452,0.9594721407624635,0.9346236559139787,0.9431314760508309,0.014385830157001598,24,rf,,2.0,200.0,,,
0.6145262718200684,0.05016550766370036,0.02057757377624512,0.0017450869459525549,,,"{'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 400}",0.9301704620340381,0.9389105944923617,0.9574947181898725,0.9657853936394487,0.9429520310102559,0.9470626398731954,0.012869097776161341,31,0.9264051808406647,0.9338660801564028,0.9594721407624635,0.9594721407624635,0.9346236559139787,0.9427678396871946,0.013938242395871407,30,rf,,2.0,400.0,,,
1.2702447891235351,0.022330118585083377,0.028298330307006837,0.004189900054413689,,,"{'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 800}",0.9301704620340381,0.9389105944923617,0.9612121212121213,0.9657853936394487,0.9429520310102559,0.947806120477645,0.013540193019092202,24,0.9264051808406647,0.9338660801564028,0.9612903225806452,0.9594721407624635,0.9346236559139787,0.9431314760508309,0.014385830157001598,24,rf,,2.0,800.0,,,
