mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__penalty,params,split0_test_macro_f1,split1_test_macro_f1,split2_test_macro_f1,split3_test_macro_f1,split4_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,rank_test_macro_f1,split0_test_bal_acc,split1_test_bal_acc,split2_test_bal_acc,split3_test_bal_acc,split4_test_bal_acc,mean_test_bal_acc,std_test_bal_acc,rank_test_bal_acc,model,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__n_estimators,param_clf__learning_rate,param_clf__max_leaf_nodes,param_clf__gamma
0.007468366622924804,0.002283243490875469,0.0033290863037109377,0.0008093224411820175,0.1,l2,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.5403061224489796,0.5511818231750856,0.5341127453621393,0.5221774193548387,0.5304200825259484,0.5356396385733984,0.00973798838008753,2,0.5419354838709678,0.5522803114571746,0.539302929180571,0.5223013493253373,0.5339381720430108,0.5379516491754123,0.009839180285046286,1,logreg,,,,,,
0.0056820869445800785,0.001508054280626118,0.0019030570983886719,0.0008026510949288846,0.5,l2,"{'clf__C': 0.5, 'clf__penalty': 'l2'}",0.5301601228339548,0.5587690025954765,0.533039330393304,0.5231931369571818,0.5215460284833358,0.5333415242526505,0.013408152565757456,5,0.5311827956989247,0.5587690025954765,0.5373748609566185,0.5232383808095952,0.5228494623655914,0.5346829004852413,0.013195794692985818,5,logreg,,,,,,
0.007672166824340821,0.002020476971187612,0.00215301513671875,0.0008563000954750865,1.0,l2,"{'clf__C': 1.0, 'clf__penalty': 'l2'}",0.5337519910653802,0.5570279928528886,0.5367647058823529,0.5266221537407978,0.5215460284833358,0.535142574404951,0.012173743898146697,3,0.5346310715609937,0.5568409343715239,0.5408231368186874,0.5266866566716641,0.5228494623655914,0.5363662523576921,0.011987372184085607,3,logreg,,,,,,
0.006865358352661133,0.0020044329107652666,0.0020676612854003905,0.0007273224012329988,2.0,l2,"{'clf__C': 2.0, 'clf__penalty': 'l2'}",0.5337519910653802,0.5605662171991271,0.533039330393304,0.527816091954023,0.5200662739322532,0.5350479809088176,0.01366489232831312,4,0.5346310715609937,0.5602892102335929,0.5373748609566185,0.5281484257871065,0.5209453405017921,0.5362777818080208,0.01327881107671954,4,logreg,,,,,,
0.0075340747833251955,0.001181772249108513,0.0022507667541503905,0.001005535422223625,5.0,l2,"{'clf__C': 5.0, 'clf__penalty': 'l2'}",0.5373386150234742,0.5570279928528886,0.533039330393304,0.527816091954023,0.5236664023749378,0.5357776865197256,0.011589484915099618,1,0.5380793474230626,0.5568409343715239,0.5373748609566185,0.5281484257871065,0.5244175627240143,0.5369722262524651,0.011239505552085494,2,logreg,,,,,,
0.32292861938476564,0.021347788018964965,0.014099788665771485,0.0017690810835252434,,,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",0.5216450216450217,0.4506190503443408,0.5175675675675675,0.5153559483994267,0.4824137931034483,0.49752027621196104,0.02731277816363103,28,0.5237671486837226,0.453578049684835,0.517686318131257,0.5158170914542728,0.48420698924731187,0.49901111944027987,0.026560838930870564,30,rf,,1.0,200.0,,,
0.5875658512115478,0.037314242039122585,0.015523338317871093,0.0020039174393411104,,,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 400}",0.5323451420286538,0.44494343041073187,0.5278045462275381,0.5130105812993297,0.47986292930848606,0.499593325854948,0.03293774971424504,24,0.5329996292176493,0.4497219132369299,0.5280311457174638,0.5138305847076462,0.4823028673835126,0.5013772280526403,0.03129727290978193,25,rf,,1.0,400.0,,,
1.1371641635894776,0.047001984587560275,0.0326873779296875,0.004669114657949095,,,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 800}",0.5199056101088528,0.4569648164126162,0.5333685242440238,0.5197151294076776,0.4889881410750039,0.5037884442496349,0.02756775132582282,19,0.5207267334074899,0.4604746014089729,0.5334074898034853,0.5207271364317841,0.4911514336917563,0.5052974789486977,0.02636478667013409,20,rf,,1.0,800.0,,,
0.28215765953063965,0.014576759154299429,0.009677362442016602,0.0020577666733496793,,,"{'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 200}",0.5165448504983389,0.44153837349052827,0.5075083056478406,0.527816091954023,0.48963042002134055,0.49660760832241424,0.030237691908955155,29,0.5172784575454208,0.44475342973674453,0.5084538375973304,0.5281484257871065,0.4927195340501792,0.49827073694335633,0.029163618761282522,31,rf,,2.0,200.0,,,
0.5448057174682617,0.03893220532339676,0.01295466423034668,0.001213700779834643,,,"{'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 400}",0.5199056101088528,0.44743853238943443,0.5041666666666667,0.5231931369571818,0.4972384137601529,0.49838847197645775,0.027235510459378966,26,0.5207267334074899,0.45012977382276603,0.5050055617352613,0.5232383808095952,0.4984318996415771,0.49950646988333797,0.02639301425189903,28,rf,,2.0,400.0,,,
1.0947990417480469,0.023313115928005782,0.027739620208740233,0.004780448940980542,,,"{'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 800}",0.5265015015015015,0.46232558139534885,0.5075083056478406,0.5266221537407978,0.4938987187309335,0.5033712522032844,0.023946624181985034,20,0.5265109380793473,0.46433073785687806,0.5084538375973304,0.5266866566716641,0.49495967741935487,0.504188369524915,0.023222677577944512,21,rf,,2.0,800.0,,,
