feature,abs_coef
achievement_count,0.177858323354163
death_rank,0.11260745926594339
combat_rank,0.09120126864184769
exploration_rank,0.08411520974410681
crafting_rank,0.07245452617095956
survival_rank,0.04793439243700542
ach_per_10h_nc,0.028937278211453997
leveling_rank,0.010467498445692336
log_playtime_capped,0.006770487036895946
