appid,name,playtime_hours
306130,The Elder Scrolls Online,1509.2333333333333
39210,FINAL FANTASY XIV Online,689.25
638650,Sword Art Online Re: Hollow Fragment,297.6666666666667
525480,.hack//G.U. Last Recode,233.5
1845910,Dragon Age™: The Veilguard,125.23333333333333
20900,The Witcher: Enhanced Edition,121.78333333333333
236390,War Thunder,102.8
477740,Zero Escape: The Nonary Games,97.78333333333333
637650,FINAL FANTASY XV WINDOWS EDITION,84.33333333333333
729040,Borderlands GOTY Enhanced,84.16666666666667
