appid,name,playtime_hours
372800,RPG MO,11714.35
672150,LOGistICAL: Earth,4957.516666666666
113420,Fallen Earth Classic,1674.7833333333333
573060,LOGistICAL,1414.5166666666667
954270,LOGistICAL 2,1121.1166666666666
9880,Champions Online,1010.6833333333333
40000,Fallen Earth,838.2666666666667
8930,Sid Meier's Civilization V,792.45
492800,Shonen Idle Z,757.6666666666666
897330,Coloring Pixels,607.8833333333333
