steamid,playtime_forever,last_logoff_time,PLAY_CS2,PLAY_CS2_unlocktime
76561198040600573,660,,0,
76561198402787068,107898,,1,1712302574.0
76561197991386429,172645,,1,1695853456.0
76561198049305971,121,,0,
76561198025391492,7252,,1,1696104136.0
76561198056523764,12293,,1,1695851930.0
76561198878330774,744016,,1,1695999437.0
76561198048602363,88674,,1,1709682866.0
76561197969100147,2182,,1,1702901544.0
76561198833431225,251775,,1,1704894049.0
