steamid,appid,game_name,apiname,achieved,unlock_time
76561198040600573,231040,Beatbuddy: Tale of the Guardians,Count_Beatpoints,1,1535387557
76561198040600573,231040,Beatbuddy: Tale of the Guardians,Count_Containers,1,1535387557
76561198040600573,231040,Beatbuddy: Tale of the Guardians,Count_Snarejumps,1,1535387557
76561198040600573,231040,Beatbuddy: Tale of the Guardians,Count_Rhythm,1,1535387557
76561198040600573,231040,Beatbuddy: Tale of the Guardians,Count_Soldiers,1,1535387557
76561198040600573,231040,Beatbuddy: Tale of the Guardians,Challenge_Dash,1,1535387557
76561198040600573,231040,Beatbuddy: Tale of the Guardians,Challenge_Arena,1,1535387557
76561198040600573,231040,Beatbuddy: Tale of the Guardians,Challenge_Unlock,1,1535387557
76561198040600573,231040,Beatbuddy: Tale of the Guardians,Challenge_Time,1,1535387557
76561198040600573,231040,Beatbuddy: Tale of the Guardians,Level_1,1,1535387557
76561198040600573,231040,Beatbuddy: Tale of the Guardians,Level_2,1,1535387557
76561198040600573,231040,Beatbuddy: Tale of the Guardians,Level_3,1,1535387557
76561198040600573,231040,Beatbuddy: Tale of the Guardians,Level_4,1,1535387557
76561198040600573,231040,Beatbuddy: Tale of the Guardians,Level_5,1,1535387557
76561198040600573,231040,Beatbuddy: Tale of the Guardians,Level_6,1,1535387557
76561198040600573,22380,Fallout: New Vegas,A01,0,0
76561198040600573,22380,Fallout: New Vegas,A02,0,0
76561198040600573,22380,Fallout: New Vegas,A03,0,0
76561198040600573,22380,Fallout: New Vegas,A04,0,0
76561198040600573,22380,Fallout: New Vegas,A05,0,0
76561198040600573,22380,Fallout: New Vegas,A06,0,0
76561198040600573,22380,Fallout: New Vegas,A07,0,0
76561198040600573,22380,Fallout: New Vegas,A08,0,0
76561198040600573,22380,Fallout: New Vegas,A09,0,0
76561198040600573,22380,Fallout: New Vegas,A10,0,0
76561198040600573,22380,Fallout: New Vegas,A11,0,0
76561198040600573,22380,Fallout: New Vegas,A12,0,0
76561198040600573,22380,Fallout: New Vegas,A13,0,0
76561198040600573,22380,Fallout: New Vegas,A14,0,0
76561198040600573,22380,Fallout: New Vegas,A15,0,0
76561198040600573,22380,Fallout: New Vegas,A16,0,0
76561198040600573,22380,Fallout: New Vegas,A17,0,0
76561198040600573,22380,Fallout: New Vegas,A18,0,0
76561198040600573,22380,Fallout: New Vegas,A19,0,0
76561198040600573,22380,Fallout: New Vegas,A20,0,0
76561198040600573,22380,Fallout: New Vegas,A21,0,0
76561198040600573,22380,Fallout: New Vegas,A22,0,0
76561198040600573,22380,Fallout: New Vegas,A23,0,0
76561198040600573,22380,Fallout: New Vegas,A24,0,0
76561198040600573,22380,Fallout: New Vegas,A25,0,0
76561198040600573,22380,Fallout: New Vegas,A26,0,0
76561198040600573,22380,Fallout: New Vegas,A27,0,0
76561198040600573,22380,Fallout: New Vegas,A28,0,0
76561198040600573,22380,Fallout: New Vegas,A29,0,0
76561198040600573,22380,Fallout: New Vegas,A30,0,0
76561198040600573,22380,Fallout: New Vegas,A31,1,1410106538
76561198040600573,22380,Fallout: New Vegas,A32,0,0
76561198040600573,22380,Fallout: New Vegas,A33,0,0
76561198040600573,22380,Fallout: New Vegas,A34,0,0
76561198040600573,22380,Fallout: New Vegas,A35,0,0
76561198040600573,22380,Fallout: New Vegas,A36,0,0
76561198040600573,22380,Fallout: New Vegas,A37,0,0
76561198040600573,22380,Fallout: New Vegas,A38,0,0
76561198040600573,22380,Fallout: New Vegas,A39,0,0
76561198040600573,22380,Fallout: New Vegas,A40,0,0
76561198040600573,22380,Fallout: New Vegas,A41,0,0
76561198040600573,22380,Fallout: New Vegas,A42,0,0
76561198040600573,22380,Fallout: New Vegas,A43,0,0
76561198040600573,22380,Fallout: New Vegas,A44,0,0
76561198040600573,22380,Fallout: New Vegas,A45,0,0
76561198040600573,22380,Fallout: New Vegas,A46,0,0
76561198040600573,22380,Fallout: New Vegas,A47,0,0
76561198040600573,22380,Fallout: New Vegas,A48,0,0
76561198040600573,22380,Fallout: New Vegas,A49,0,0
76561198040600573,22380,Fallout: New Vegas,A50,0,0
76561198040600573,22380,Fallout: New Vegas,A51,0,0
76561198040600573,22380,Fallout: New Vegas,A52,0,0
76561198040600573,22380,Fallout: New Vegas,A53,0,0
76561198040600573,22380,Fallout: New Vegas,A54,0,0
76561198040600573,22380,Fallout: New Vegas,A55,0,0
76561198040600573,22380,Fallout: New Vegas,A56,0,0
76561198040600573,22380,Fallout: New Vegas,A57,0,0
76561198040600573,22380,Fallout: New Vegas,A58,0,0
76561198040600573,22380,Fallout: New Vegas,A59,0,0
76561198040600573,22380,Fallout: New Vegas,A60,0,0
76561198040600573,22380,Fallout: New Vegas,A61,0,0
76561198040600573,22380,Fallout: New Vegas,A62,0,0
76561198040600573,22380,Fallout: New Vegas,A63,0,0
76561198040600573,22380,Fallout: New Vegas,A64,0,0
76561198040600573,22380,Fallout: New Vegas,A65,0,0
76561198040600573,22380,Fallout: New Vegas,A66,0,0
76561198040600573,22380,Fallout: New Vegas,A67,0,0
76561198040600573,22380,Fallout: New Vegas,A68,0,0
76561198040600573,22380,Fallout: New Vegas,A69,0,0
76561198040600573,22380,Fallout: New Vegas,A70,0,0
76561198040600573,22380,Fallout: New Vegas,A71,0,0
76561198040600573,22380,Fallout: New Vegas,A72,0,0
76561198040600573,22380,Fallout: New Vegas,A73,0,0
76561198040600573,22380,Fallout: New Vegas,A74,0,0
76561198040600573,22380,Fallout: New Vegas,A75,0,0
76561198040600573,351490,Intergalactic Bubbles,SurvivedSector0,0,0
76561198040600573,351490,Intergalactic Bubbles,SurvivedSector1,0,0
76561198040600573,351490,Intergalactic Bubbles,SurvivedSector2,0,0
76561198040600573,351490,Intergalactic Bubbles,SurvivedSector3,0,0
