appid,name,playtime_hours
209660,Call of Duty: Advanced Warfare - Multiplayer,427.3333333333333
730,Counter-Strike 2,204.88333333333333
232090,Killing Floor 2,170.2
368180,Polyball,146.98333333333332
812140,Assassin's Creed Odyssey,106.56666666666666
1369320,Virtual Cottage,99.68333333333334
1493640,Banishers: Ghosts of New Eden,87.71666666666667
582160,Assassin's Creed Origins,87.48333333333333
351030,Pixel Puzzles Ultimate Jigsaw Puzzles,86.93333333333334
49520,Borderlands 2,85.81666666666666
